Geo_FIPS,Geo_GEOID,Geo_NAME,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_FILEID,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_PLACESE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_BTTR,Geo_BTBG,Geo_PUMA5,Geo_PUMA1,SE_T057_001,SE_T157_001
"29189215900","14000US29189215900","Census Tract 2159, St. Louis County, Missouri","Census Tract 2159, St. Louis County, Missouri","mo","140","00","ACSSF","0005426",,,,,"29","189",,,,"215900",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50350,0.4642
"29189216000","14000US29189216000","Census Tract 2160, St. Louis County, Missouri","Census Tract 2160, St. Louis County, Missouri","mo","140","00","ACSSF","0005427",,,,,"29","189",,,,"216000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39234,0.384
"29189216100","14000US29189216100","Census Tract 2161, St. Louis County, Missouri","Census Tract 2161, St. Louis County, Missouri","mo","140","00","ACSSF","0005428",,,,,"29","189",,,,"216100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36268,0.6469
"29189216200","14000US29189216200","Census Tract 2162, St. Louis County, Missouri","Census Tract 2162, St. Louis County, Missouri","mo","140","00","ACSSF","0005429",,,,,"29","189",,,,"216200",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104444,0.473
"29189216300","14000US29189216300","Census Tract 2163, St. Louis County, Missouri","Census Tract 2163, St. Louis County, Missouri","mo","140","00","ACSSF","0005430",,,,,"29","189",,,,"216300",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86691,0.5258
"29189216400","14000US29189216400","Census Tract 2164, St. Louis County, Missouri","Census Tract 2164, St. Louis County, Missouri","mo","140","00","ACSSF","0005431",,,,,"29","189",,,,"216400",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72367,0.5318
"29189216500","14000US29189216500","Census Tract 2165, St. Louis County, Missouri","Census Tract 2165, St. Louis County, Missouri","mo","140","00","ACSSF","0005432",,,,,"29","189",,,,"216500",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117411,0.5549
"29189216600","14000US29189216600","Census Tract 2166, St. Louis County, Missouri","Census Tract 2166, St. Louis County, Missouri","mo","140","00","ACSSF","0005433",,,,,"29","189",,,,"216600",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121042,0.4879
"29189216700","14000US29189216700","Census Tract 2167, St. Louis County, Missouri","Census Tract 2167, St. Louis County, Missouri","mo","140","00","ACSSF","0005434",,,,,"29","189",,,,"216700",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58289,0.5257
"29189216800","14000US29189216800","Census Tract 2168, St. Louis County, Missouri","Census Tract 2168, St. Louis County, Missouri","mo","140","00","ACSSF","0005435",,,,,"29","189",,,,"216800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67297,0.4462
